[227598][lighthouse3]: {'lighthouse.angle0x_3': 0.029138784855604172, 'lighthouse.angle0y_3': -0.19632171094417572, 'lighthouse.angle1x_3': -0.1808619648218155, 'lighthouse.angle1y_3': -0.26785147190093994} 
[227608][lighthouse3]: {'lighthouse.angle0x_3': 0.029138784855604172, 'lighthouse.angle0y_3': -0.19632171094417572, 'lighthouse.angle1x_3': -0.18086224794387817, 'lighthouse.angle1y_3': -0.2678276002407074} 
[227618][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18086224794387817, 'lighthouse.angle1y_3': -0.2678276002407074} 
[227628][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18088194727897644, 'lighthouse.angle1y_3': -0.26779288053512573} 
[227638][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18088194727897644, 'lighthouse.angle1y_3': -0.26779288053512573} 
[227648][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18084263801574707, 'lighthouse.angle1y_3': -0.26779094338417053} 
[227658][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18084263801574707, 'lighthouse.angle1y_3': -0.26779094338417053} 
[227668][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18084247410297394, 'lighthouse.angle1y_3': -0.26781487464904785} 
[227678][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18084247410297394, 'lighthouse.angle1y_3': -0.26781487464904785} 
[227688][lighthouse3]: {'lighthouse.angle0x_3': 0.029230870306491852, 'lighthouse.angle0y_3': -0.19637136161327362, 'lighthouse.angle1x_3': -0.18081648647785187, 'lighthouse.angle1y_3': -0.2677662968635559} 
[227698][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18081648647785187, 'lighthouse.angle1y_3': -0.2677662968635559} 
[227709][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18082964420318604, 'lighthouse.angle1y_3': -0.2677665948867798} 
[227718][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18082964420318604, 'lighthouse.angle1y_3': -0.2677665948867798} 
[227728][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18086889386177063, 'lighthouse.angle1y_3': -0.26774460077285767} 
[227738][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18086889386177063, 'lighthouse.angle1y_3': -0.26774460077285767} 
[227748][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18083597719669342, 'lighthouse.angle1y_3': -0.26780271530151367} 
[227758][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18083597719669342, 'lighthouse.angle1y_3': -0.26780271530151367} 
[227768][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227778][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227788][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18084251880645752, 'lighthouse.angle1y_3': -0.2678384482860565} 
[227798][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18084251880645752, 'lighthouse.angle1y_3': -0.2678384482860565} 
[227808][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18085534870624542, 'lighthouse.angle1y_3': -0.2678867280483246} 
[227818][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18085534870624542, 'lighthouse.angle1y_3': -0.2678867280483246} 
[227828][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18084916472434998, 'lighthouse.angle1y_3': -0.2678031623363495} 
[227838][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18084916472434998, 'lighthouse.angle1y_3': -0.2678031623363495} 
[227848][lighthouse3]: {'lighthouse.angle0x_3': 0.029013600200414658, 'lighthouse.angle0y_3': -0.19645342230796814, 'lighthouse.angle1x_3': -0.18085578083992004, 'lighthouse.angle1y_3': -0.2677677571773529} 
[227858][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18085578083992004, 'lighthouse.angle1y_3': -0.2677677571773529} 
[227868][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082298338413239, 'lighthouse.angle1y_3': -0.2677784562110901} 
[227878][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082298338413239, 'lighthouse.angle1y_3': -0.2677784562110901} 
[227888][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082284927368164, 'lighthouse.angle1y_3': -0.2678259611129761} 
